generation,peso food,peso poison,raio food,raio poison,average life time,average fitness
0,-0.07632991212869737,0.03856617367979077,54.68178177950778,55.59814664551309,697.86,43.37
1,0.1949984838108394,-0.040172694691758375,55.816778850371996,57.028034462851274,736.51,37.846666666666664
2,0.0011190515960986414,0.11774149987165745,57.594694325704126,55.24394559589559,706.4433333333334,37.446666666666665
3,0.10045348618553622,0.08981466118632812,53.80708091000004,55.90077822690192,703.18,37.473333333333336
4,0.09494764836951837,0.036069729818806844,53.68995806500047,54.05786051783183,726.4866666666667,39.93333333333333
5,0.030221264481250135,-0.06217808352441156,54.39284809258584,54.383155794039126,732.8533333333334,39.36333333333334
6,0.0012822789362901303,0.07263369089348366,57.002780378726165,56.659794906555604,705.32,34.58
7,-0.028714388459498086,-0.020622974671130202,58.598187247818544,56.18036705725033,709.7433333333333,37.303333333333335
8,0.04534709457395484,-0.028043147667047276,51.82134837081252,54.91862730639652,706.9169435215947,38.74750830564784
9,0.014352803761105015,0.14878288539921547,56.440501039320345,56.33942702321599,689.0566666666666,39.913333333333334
10,-0.2052999377231461,0.02145935839893264,57.89047414008893,51.227999051993834,704.6266666666667,43.836666666666666
11,-0.10373078298074971,0.020416774982334872,53.63882867365408,55.39912395972127,693.8106312292359,39.4485049833887
12,-0.05610460389209114,0.10706613617043322,57.94056296755423,57.68902647923925,705.3266666666667,41.56
13,-0.06746556436870334,-0.023326803130813506,54.91089126038152,58.985791843401046,715.8866666666667,38.53
14,0.054332524111822794,-0.05588440797646883,53.30870876112923,53.15805155304175,723.0266666666666,39.3
15,-0.005752712619562377,-0.03753886927248799,55.55287050441493,56.34813721216765,710.43,41.21666666666667
16,0.04828157193838631,-0.07772962333681194,58.130940409129714,56.45041097295169,724.2933333333333,36.82666666666667
17,-0.06428819057798703,-0.15638787204686133,54.84617770170524,58.1150105886745,723.86,41.14666666666667
18,-0.0457356719610006,-0.09103194107949192,57.79977675467512,54.178852088247325,739.89,31.506666666666668
19,-0.08638286569448334,-0.17620885873059108,54.265130484788216,53.974023059342365,721.73,35.10333333333333
20,0.15647762234751214,0.04443869645932923,55.460594984555826,53.66802984862575,728.18,34.43333333333333
21,-0.12503314594376103,-0.11688756686617353,54.96843319783705,57.34298060073041,721.2466666666667,37.93
22,0.04766087773061629,0.08871924686491094,54.95151999952651,53.6474762421055,717.9466666666667,40.306666666666665
23,-0.026133507170043216,-0.07739879290759359,57.26734832970079,55.7260367628316,737.4833333333333,30.753333333333334
24,-0.0031874636004285573,-0.030278651685226095,55.2228885978438,52.791333434022924,729.5182724252492,37.93023255813954
25,0.08801895776825998,0.21399643304741128,55.09870495650899,51.75696314180477,704.6766666666666,40.75666666666667
26,-0.021940778557298726,0.10182057852021709,54.90352212643019,52.50520169212109,717.25,36.413333333333334
27,-0.019393255724492114,0.22118174292942802,54.25366029085232,56.86379776737216,692.9933333333333,36.836666666666666
28,0.03360023687236242,-0.02285267214577416,54.807449294874594,53.07758329151017,708.1633333333333,36.49333333333333
29,0.012791074825049587,0.027473314720086014,54.22726836774896,54.46283110676977,714.82,39.22
30,-0.019629999998463658,0.0735093442983893,54.766843029299245,56.96600687682318,708.21,35.44